# Simulation 5 (Up to date)
# 1162 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-9.3774,0,9.3774,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.162,10.799,0.0013922,2.0112e-5,NaN,25.965,NaN,0.0061522,60167,0.030516,0,0.878,0,0.66811,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.0060261
2e-3,0,0,-8.5197,0,8.5197,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.162,10.799,0.0013922,2.0112e-5,NaN,25.965,NaN,0.0061326,59976,0.091548,0,0.87858,0,0.6687,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.0068672
4e-3,0,0,-7.662,0,7.662,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.16,10.798,0.0013922,2.0112e-5,NaN,25.965,NaN,0.0061131,59785,0.15258,0,0.87917,0,0.66929,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.0074733
6e-3,0,0,-6.8043,0,6.8043,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.159,10.797,0.0013922,2.0112e-5,NaN,25.965,NaN,0.0060936,59594,0.21361,0,0.87976,0,0.66988,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.0080879
8e-3,0,0,-5.9465,0,5.9465,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.158,10.796,0.0013922,2.0112e-5,NaN,25.965,NaN,0.006074,59403,0.27465,0,0.88035,0,0.67047,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.0086777
0.01,0,0,-5.0888,0,5.0888,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.157,10.795,0.0013921,2.0112e-5,NaN,25.965,NaN,0.0060545,59212,0.33568,0,0.88095,0,0.67106,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.009255
0.012,0,0,-4.231,0,4.231,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.156,10.794,0.0013921,2.0112e-5,NaN,25.965,NaN,0.006035,59021,0.39671,0,0.88154,0,0.67166,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.010009
0.014,0,0,-3.3731,0,3.3731,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.155,10.792,0.0013921,2.0112e-5,NaN,25.964,NaN,0.0060154,58830,0.45774,0,0.88214,0,0.67226,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.010792
0.016,0,0,-2.5153,0,2.5153,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.153,10.791,0.0013921,2.0112e-5,NaN,25.964,NaN,0.0059959,58639,0.51877,0,0.88275,0,0.67287,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.011668
0.018,0,0,-1.6574,0,1.6574,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.152,10.79,0.0013921,2.0112e-5,NaN,25.964,NaN,0.0059764,58448,0.57981,0,0.88335,0,0.67347,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.01261
0.02,0,0,-0.79947,0,0.79947,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,71.151,10.789,0.0013921,2.0112e-5,NaN,25.964,NaN,0.0059568,58257,0.64084,0,0.88396,0,0.67408,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.5,4.9087,90,0,NaN,15,1013.2,340.39,2e-3,0.01328
